well_tag_number,development_method_code
32721,BAIL
32723,BAIL
32786,BAIL
32811,BAIL
33188,BAIL
33199,PUMP
33227,BAIL
33239,BAIL
33259,SURGE
33270,BAIL
33276,BAIL
33293,BAIL
33429,BAIL
33441,AIR_LIFT
33467,BAIL
33489,BAIL
33501,OTHER
33512,BAIL
33631,BAIL
33637,BAIL
33638,BAIL
33661,BAIL
33676,BAIL
33748,BAIL
33779,BAIL
33806,SURGE
33808,SURGE
33814,BAIL
33819,BAIL
33820,BAIL
33843,BAIL
33864,BAIL
33958,BAIL
34094,SURGE
34098,SURGE
34105,BAIL
34220,BAIL
34221,PUMP
34247,BAIL
34266,PUMP
34266,SURGE
34295,BAIL
34302,BAIL
34349,BAIL
34356,BAIL
34359,BAIL
34439,BAIL
34446,BAIL
34590,PUMP
34606,BAIL
34638,BAIL
34737,BAIL
34827,BAIL
34924,SURGE
35178,BAIL
35319,SURGE
35354,PUMP
35361,BAIL
35457,SURGE
35545,SURGE
35643,BAIL
35655,BAIL
35664,BAIL
35708,BAIL
35756,AIR_LIFT
35844,PUMP
35884,PUMP
35901,BAIL
35912,BAIL
35973,SURGE
36021,AIR_LIFT
36042,BAIL
36081,PUMP
36159,PUMP
36250,AIR_LIFT
36304,SURGE
36728,BAIL
36728,PUMP
36778,AIR_LIFT
36971,BAIL
37055,AIR_LIFT
37083,BAIL
37206,AIR_LIFT
37387,BAIL
37403,BAIL
37482,JET
37552,AIR_LIFT
37563,AIR_LIFT
37648,BAIL
37711,BAIL
37713,PUMP
37732,BAIL
37765,BAIL
37863,AIR_LIFT
38090,AIR_LIFT
38153,PUMP
38466,AIR_LIFT
38571,SURGE
38581,BAIL
38619,BAIL
38660,BAIL
38675,BAIL
38677,BAIL
39288,BAIL
39431,AIR_LIFT
39734,BAIL
39929,AIR_LIFT
40115,AIR_LIFT
40307,AIR_LIFT
40384,SURGE
40397,SURGE
40456,AIR_LIFT
40597,AIR_LIFT
40850,BAIL
41051,AIR_LIFT
41111,SURGE
41111,BAIL
41496,AIR_LIFT
41552,AIR_LIFT
41562,BAIL
41606,BAIL
41856,BAIL
41926,BAIL
41961,BAIL
42114,AIR_LIFT
42238,BAIL
42360,AIR_LIFT
42444,BAIL
42499,AIR_LIFT
42499,OTHER
42527,BAIL
42586,AIR_LIFT
42719,BAIL
42777,SURGE
42777,BAIL
42876,PUMP
42887,PUMP
42899,BAIL
42907,PUMP
42921,PUMP
42943,AIR_LIFT
42945,BAIL
42946,PUMP
42989,AIR_LIFT
43153,BAIL
43173,BAIL
43176,BAIL
43185,PUMP
43243,AIR_LIFT
43368,PUMP
43530,PUMP
43530,SURGE
43685,AIR_LIFT
43685,SURGE
43773,BAIL
43773,SURGE
43786,PUMP
43804,AIR_LIFT
43805,AIR_LIFT
43918,SURGE
43934,SURGE
43958,AIR_LIFT
44140,SURGE
44186,AIR_LIFT
44267,AIR_LIFT
44360,BAIL
44425,AIR_LIFT
44441,BAIL
44644,SURGE
44864,AIR_LIFT
44920,AIR_LIFT
44920,PUMP
44939,BAIL
45250,AIR_LIFT
45290,SURGE
45290,BAIL
45361,BAIL
45361,PUMP
45361,SURGE
45361,JET
45487,PUMP
45487,BAIL
45490,AIR_LIFT
45626,BAIL
45718,AIR_LIFT
45736,BAIL
45736,SURGE
46006,BAIL
46107,BAIL
46107,SURGE
46232,BAIL
46244,SURGE
46244,BAIL
46325,BAIL
46428,AIR_LIFT
46436,AIR_LIFT
46499,AIR_LIFT
46560,AIR_LIFT
46734,BAIL
46888,AIR_LIFT
46938,AIR_LIFT
47156,AIR_LIFT
47182,SURGE
47306,BAIL
47353,AIR_LIFT
47467,AIR_LIFT
47717,AIR_LIFT
47763,SURGE
47763,BAIL
47797,AIR_LIFT
47797,SURGE
47904,AIR_LIFT
48092,SURGE
48196,AIR_LIFT
48197,AIR_LIFT
48222,JET
48222,AIR_LIFT
48222,PUMP
48340,AIR_LIFT
48489,BAIL
48489,PUMP
48555,AIR_LIFT
48801,BAIL
48816,BAIL
48883,AIR_LIFT
